size,time
393,0.0005420020024757832
394,0.0005710889963665977
395,0.0005333849985618144
396,0.0007637099988642149
397,0.0005555489988182671
398,0.0005501499981619418
399,0.0005398650027927943
400,0.0005499689941643737
401,0.0005696730004274286
402,0.0005727950047003105
403,0.0006049169969628565
404,0.0005961019996902905
405,0.0005932389976806007
406,0.0006249319994822145
407,0.0005883589983568527
408,0.0006994750001467764
409,0.0005901289987377822
410,0.0005769190029241145
411,0.0005766220056102611
412,0.0006127759988885373
413,0.0006024039976182394
414,0.0005932159983785823
415,0.0006122520062490366
416,0.0005713840000680648
417,0.0006299359956756234
418,0.000563946996408049
419,0.0006490349987871014
420,0.0006280939996941015
421,0.000579036000999622
422,0.0005701859990949742
423,0.0006074370030546561
424,0.0005993730010231957
425,0.0005939210022916086
426,0.0006262780007091351
427,0.0005824539985042065
428,0.0006598149993806146
429,0.0006785309960832819
430,0.0006293490005191416
